"","Condition","Agegroup","ET_first","Participant","Gender","Ageindays","Counterbalanced_order","Item_order","DV","In_for_et","Propcorrect","Vocabularycategory","Expressive_vocab_direct_raw","CDIIII_vocab","CDIIII_sentences","CDIIII_usingsentences","Item"
"182","passive","2_years","first","88","female",880,"1","2",1,1,0.5,"vocab_above_median",23,NA,NA,NA,2
"183","passive","2_years","first","88","female",880,"1","3",0,1,0.5,"vocab_above_median",23,NA,NA,NA,3
"184","passive","2_years","first","88","female",880,"1","4",0,1,0.5,"vocab_above_median",23,NA,NA,NA,4
"185","passive","2_years","first","88","female",880,"1","5",0,1,0.5,"vocab_above_median",23,NA,NA,NA,5
"186","passive","2_years","first","88","female",880,"1","6",1,1,0.5,"vocab_above_median",23,NA,NA,NA,6
"187","passive","2_years","second","89","female",738,"2","1",0,0,0.83,"vocab_under_median",21,NA,NA,NA,5
"188","passive","2_years","second","89","female",738,"2","2",1,0,0.83,"vocab_under_median",21,NA,NA,NA,6
"189","passive","2_years","second","89","female",738,"2","3",1,0,0.83,"vocab_under_median",21,NA,NA,NA,1
"190","passive","2_years","second","89","female",738,"2","4",1,0,0.83,"vocab_under_median",21,NA,NA,NA,2
"191","passive","2_years","second","89","female",738,"2","5",1,0,0.83,"vocab_under_median",21,NA,NA,NA,3
"192","passive","2_years","second","89","female",738,"2","6",1,0,0.83,"vocab_under_median",21,NA,NA,NA,4
"193","passive","2_years","first","91","female",719,"3","1",1,1,0.5,"vocab_above_median",25,NA,NA,NA,2
"194","passive","2_years","first","91","female",719,"3","2",0,1,0.5,"vocab_above_median",25,NA,NA,NA,3
"195","passive","2_years","first","91","female",719,"3","3",0,1,0.5,"vocab_above_median",25,NA,NA,NA,4
"196","passive","2_years","first","91","female",719,"3","4",1,1,0.5,"vocab_above_median",25,NA,NA,NA,5
"197","passive","2_years","first","91","female",719,"3","5",1,1,0.5,"vocab_above_median",25,NA,NA,NA,6
"198","passive","2_years","first","91","female",719,"3","6",0,1,0.5,"vocab_above_median",25,NA,NA,NA,1
"199","passive","2_years","second","92","female",856,"4","1",0,0,0.17,"vocab_above_median",24,NA,NA,NA,4
"200","passive","2_years","second","92","female",856,"4","2",0,0,0.17,"vocab_above_median",24,NA,NA,NA,5
"201","passive","2_years","second","92","female",856,"4","3",0,0,0.17,"vocab_above_median",24,NA,NA,NA,6
"202","passive","2_years","second","92","female",856,"4","4",1,0,0.17,"vocab_above_median",24,NA,NA,NA,1
"203","passive","2_years","second","92","female",856,"4","5",0,0,0.17,"vocab_above_median",24,NA,NA,NA,2
"204","passive","2_years","second","92","female",856,"4","6",0,0,0.17,"vocab_above_median",24,NA,NA,NA,3
"205","passive","2_years","second","93","female",858,"3","1",1,0,0.67,"vocab_under_median",20,NA,NA,NA,2
