Participant,Item,time,T,D,NP,ND,Away,SentenceType,HeadNoun
1,S4,2,1,0,0,0,0,-0.5,-0.5
1,S4,2.04,1,0,0,0,0,-0.5,-0.5
1,S4,2.08,1,0,0,0,0,-0.5,-0.5
1,S4,2.12,1,0,0,0,0,-0.5,-0.5
1,S4,2.16,1,0,0,0,0,-0.5,-0.5
1,S4,2.2,1,0,0,0,0,-0.5,-0.5
1,S4,2.24,1,0,0,0,0,-0.5,-0.5
1,S4,2.28,1,0,0,0,0,-0.5,-0.5
1,S4,2.32,1,0,0,0,0,-0.5,-0.5
1,S4,2.36,1,0,0,0,0,-0.5,-0.5
1,S4,2.4,1,0,0,0,0,-0.5,-0.5
1,S5,0,0,0,1,0,0,-0.5,0.5
1,S5,0.04,0,0,1,0,0,-0.5,0.5
1,S5,0.08,0,0,1,0,0,-0.5,0.5
1,S5,0.12,0,0,1,0,0,-0.5,0.5
1,S5,0.16,0,0,1,0,0,-0.5,0.5
1,S5,0.2,0,0,1,0,0,-0.5,0.5
1,S5,0.24,0,0,1,0,0,-0.5,0.5
1,S5,0.28,0,0,1,0,0,-0.5,0.5
1,S5,0.32,0,0,1,0,0,-0.5,0.5
1,S5,0.36,0,0,1,0,0,-0.5,0.5
1,S5,0.4,0,0,1,0,0,-0.5,0.5
1,S5,0.44,0,0,1,0,0,-0.5,0.5
1,S5,0.48,0,0,1,0,0,-0.5,0.5
1,S5,0.52,0,0,1,0,0,-0.5,0.5
1,S5,0.56,0,0,1,0,0,-0.5,0.5
1,S5,0.6,0,0,1,0,0,-0.5,0.5
1,S5,0.64,1,0,0,0,0,-0.5,0.5
1,S5,0.68,1,0,0,0,0,-0.5,0.5
1,S5,0.72,1,0,0,0,0,-0.5,0.5
1,S5,0.76,1,0,0,0,0,-0.5,0.5
1,S5,0.8,1,0,0,0,0,-0.5,0.5
1,S5,0.84,1,0,0,0,0,-0.5,0.5
1,S5,0.88,1,0,0,0,0,-0.5,0.5
1,S5,0.92,1,0,0,0,0,-0.5,0.5
1,S5,0.96,1,0,0,0,0,-0.5,0.5
1,S5,1,1,0,0,0,0,-0.5,0.5
1,S5,1.04,1,0,0,0,0,-0.5,0.5
1,S5,1.08,1,0,0,0,0,-0.5,0.5
1,S5,1.12,1,0,0,0,0,-0.5,0.5
1,S5,1.16,0,0,0,0,1,-0.5,0.5
1,S5,1.2,0,0,1,0,0,-0.5,0.5
1,S5,1.24,0,0,1,0,0,-0.5,0.5
1,S5,1.28,0,0,1,0,0,-0.5,0.5
1,S5,1.32,0,0,1,0,0,-0.5,0.5
1,S5,1.36,0,0,1,0,0,-0.5,0.5
1,S5,1.4,0,0,1,0,0,-0.5,0.5
1,S5,1.44,0,0,1,0,0,-0.5,0.5
1,S5,1.48,1,0,0,0,0,-0.5,0.5
1,S5,1.52,1,0,0,0,0,-0.5,0.5
1,S5,1.56,1,0,0,0,0,-0.5,0.5
1,S5,1.6,1,0,0,0,0,-0.5,0.5
1,S5,1.64,1,0,0,0,0,-0.5,0.5
1,S5,1.68,1,0,0,0,0,-0.5,0.5
1,S5,1.72,1,0,0,0,0,-0.5,0.5
1,S5,1.76,1,0,0,0,0,-0.5,0.5
1,S5,1.8,1,0,0,0,0,-0.5,0.5
1,S5,1.84,1,0,0,0,0,-0.5,0.5
1,S5,1.88,1,0,0,0,0,-0.5,0.5
1,S5,1.92,1,0,0,0,0,-0.5,0.5
1,S5,1.96,1,0,0,0,0,-0.5,0.5
1,S5,2,1,0,0,0,0,-0.5,0.5
1,S5,2.04,1,0,0,0,0,-0.5,0.5
1,S5,2.08,1,0,0,0,0,-0.5,0.5
1,S5,2.12,1,0,0,0,0,-0.5,0.5
1,S5,2.16,1,0,0,0,0,-0.5,0.5
1,S5,2.2,1,0,0,0,0,-0.5,0.5
1,S5,2.24,1,0,0,0,0,-0.5,0.5
1,S5,2.28,1,0,0,0,0,-0.5,0.5
1,S5,2.32,1,0,0,0,0,-0.5,0.5
1,S5,2.36,1,0,0,0,0,-0.5,0.5
1,S5,2.4,1,0,0,0,0,-0.5,0.5
